                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3461,                 4.3591,                 1.2837,                0.00181,                0.05414,                0.00234,                0.00168,                 0.8097,                 4.1511,                 0.9332,             0.00011875,             0.00011875,             0.00011875
                      1,                 1.0357,                 3.6105,                 1.0114,                0.02928,                0.88394,                0.11683,                0.09077,                0.80322,                  3.531,                0.85959,             0.00016331,             0.00016331,             0.00016331
                      2,                0.98113,                 3.1124,                0.99921,                0.30786,                0.36712,                0.17275,                0.13921,                0.75328,                 3.1902,                 0.8634,             0.00012537,             0.00012537,             0.00012537
