                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79069,                 0.8348,                0.97051,                 0.9911,                0.98104,                0.99415,                0.84423,                0.64043,                0.49366,                0.90817,             0.00042081,             0.00042081,             0.00042081
                     35,                0.77353,                0.79591,                0.97446,                0.97794,                0.97297,                0.99432,                0.84881,                 0.6231,                0.48715,                0.90443,             0.00041462,             0.00041462,             0.00041462
                     36,                0.77467,                0.79716,                0.97437,                0.97461,                0.98931,                0.99432,                0.85446,                0.62359,                0.48915,                0.90469,             0.00040844,             0.00040844,             0.00040844
                     37,                0.77574,                0.80044,                0.97173,                0.98558,                0.97713,                  0.994,                0.84895,                0.61785,                0.49075,                0.90306,             0.00040225,             0.00040225,             0.00040225
                     38,                0.76488,                0.78326,                0.96168,                0.97771,                0.98862,                0.99432,                0.85732,                0.60908,                 0.4715,                0.89474,             0.00039606,             0.00039606,             0.00039606
                     39,                0.76421,                 0.7817,                0.96242,                0.98418,                0.97856,                0.99302,                0.85152,                0.62637,                0.47257,                0.90265,             0.00038988,             0.00038988,             0.00038988
                     40,                0.76847,                0.77024,                0.96655,                0.97744,                0.98663,                0.99353,                 0.8484,                0.63328,                0.47384,                0.90168,             0.00038369,             0.00038369,             0.00038369
                     41,                0.75372,                0.75148,                0.96586,                0.98712,                0.98731,                0.99453,                 0.8562,                0.60967,                0.46337,                 0.8969,              0.0003775,              0.0003775,              0.0003775
                     42,                0.75026,                0.75969,                0.96057,                0.98628,                0.98942,                0.99491,                  0.854,                0.62197,                0.45417,                0.89948,             0.00037131,             0.00037131,             0.00037131
                     43,                0.74743,                0.73036,                0.95871,                 0.9871,                0.99202,                  0.995,                0.85391,                0.62605,                0.45816,                0.89624,             0.00036513,             0.00036513,             0.00036513
                     44,                0.75653,                0.74197,                0.96217,                0.98062,                0.99374,                0.99471,                0.84955,                0.63549,                0.44874,                0.89965,             0.00035894,             0.00035894,             0.00035894
                     45,                0.74492,                0.73467,                0.95497,                0.98424,                0.98253,                0.99483,                0.85288,                0.61376,                0.44215,                 0.8937,             0.00035275,             0.00035275,             0.00035275
                     46,                0.76058,                0.75227,                0.95687,                0.98582,                0.99885,                  0.995,                0.85844,                 0.6041,                0.43103,                0.89432,             0.00034656,             0.00034656,             0.00034656
                     47,                0.73613,                0.72321,                0.95771,                0.98568,                0.99539,                0.99491,                0.86085,                0.60139,                0.43237,                0.88934,             0.00034038,             0.00034038,             0.00034038
                     48,                0.74212,                0.70727,                0.95043,                0.99157,                0.99662,                0.99491,                0.85651,                 0.6023,                 0.4259,                0.88899,             0.00033419,             0.00033419,             0.00033419
                     49,                0.73613,                0.70381,                0.95273,                0.99175,                0.99228,                0.99491,                0.85438,                0.61862,                0.42858,                0.89286,               0.000328,               0.000328,               0.000328
                     50,                0.73865,                0.69418,                0.95079,                 0.9848,                0.98852,                0.99402,                0.85695,                0.61569,                0.43573,                0.88877,             0.00032181,             0.00032181,             0.00032181
                     51,                0.73684,                0.71585,                0.95019,                0.98095,                0.99366,                0.99471,                0.85191,                0.61792,                0.43383,                0.89815,             0.00031562,             0.00031562,             0.00031562
                     52,                0.74355,                0.70552,                0.96202,                0.99224,                0.99226,                  0.995,                0.85415,                0.62116,                0.42346,                0.88772,             0.00030944,             0.00030944,             0.00030944
                     53,                0.74038,                0.69208,                0.95694,                0.99077,                      1,                  0.995,                0.85599,                0.60553,                0.41185,                0.88592,             0.00030325,             0.00030325,             0.00030325
                     54,                0.74213,                0.69605,                 0.9467,                0.99198,                0.99646,                  0.995,                0.84657,                0.63627,                0.41898,                 0.8995,             0.00029706,             0.00029706,             0.00029706
                     55,                0.73731,                0.71351,                  0.954,                0.98925,                0.99907,                  0.995,                0.85676,                0.60048,                0.41114,                0.88707,             0.00029088,             0.00029088,             0.00029088
                     56,                0.73061,                0.67321,                0.95045,                0.99359,                0.99862,                  0.995,                0.85024,                0.61813,                0.41044,                0.88945,             0.00028469,             0.00028469,             0.00028469
                     57,                0.74276,                0.69334,                0.95089,                0.98767,                0.99845,                  0.995,                 0.8552,                0.61517,                0.41062,                0.88911,              0.0002785,              0.0002785,              0.0002785
                     58,                0.73246,                0.68744,                0.94837,                0.98871,                0.99562,                0.99479,                0.85323,                0.61849,                0.41086,                 0.8883,             0.00027231,             0.00027231,             0.00027231
                     59,                0.72979,                0.68115,                0.94968,                 0.9926,                      1,                  0.995,                0.85776,                0.59302,                 0.3976,                0.88354,             0.00026613,             0.00026613,             0.00026613
                     60,                0.73414,                0.68662,                0.94457,                0.98959,                0.99714,                  0.995,                0.85604,                0.61917,                0.40767,                0.88918,             0.00025994,             0.00025994,             0.00025994
                     61,                0.72133,                0.66377,                0.94929,                0.99015,                0.99268,                  0.995,                0.85531,                 0.6004,                0.40118,                 0.8797,             0.00025375,             0.00025375,             0.00025375
                     62,                0.71243,                0.65647,                0.94282,                0.99059,                0.99811,                  0.995,                0.85746,                0.62332,                0.39897,                0.88967,             0.00024756,             0.00024756,             0.00024756
                     63,                0.73062,                 0.6708,                0.94474,                0.98886,                      1,                  0.995,                0.86722,                0.58957,                0.39352,                0.87792,             0.00024137,             0.00024137,             0.00024137
                     64,                0.72324,                0.66616,                0.93868,                0.99078,                0.99692,                  0.995,                0.86006,                0.58569,                0.39692,                0.87607,             0.00023519,             0.00023519,             0.00023519
                     65,                0.72134,                0.67085,                0.93793,                 0.9933,                      1,                  0.995,                0.85912,                0.61098,                0.39058,                0.88459,               0.000229,               0.000229,               0.000229
                     66,                0.70545,                0.64671,                0.93976,                0.99269,                0.99934,                  0.995,                0.86585,                0.57127,                0.37899,                0.87223,             0.00022281,             0.00022281,             0.00022281
                     67,                0.71666,                0.64461,                0.93649,                0.99187,                 0.9975,                  0.995,                0.85876,                0.60634,                0.38982,                0.88129,             0.00021662,             0.00021662,             0.00021662
                     68,                0.71471,                0.64821,                 0.9385,                0.99302,                0.99702,                  0.995,                0.86263,                0.59345,                0.38567,                0.87721,             0.00021044,             0.00021044,             0.00021044
                     69,                0.70337,                0.64214,                0.93637,                0.99231,                0.99674,                  0.995,                0.85928,                0.59908,                0.38579,                0.87771,             0.00020425,             0.00020425,             0.00020425
                     70,                0.71267,                0.66716,                0.94645,                0.98977,                0.99693,                  0.995,                 0.8652,                0.58524,                0.38041,                0.87544,             0.00019806,             0.00019806,             0.00019806
                     71,                0.72087,                 0.6555,                0.93857,                0.99063,                0.99818,                  0.995,                 0.8597,                0.60348,                0.38338,                0.88025,             0.00019188,             0.00019188,             0.00019188
                     72,                0.71502,                 0.6443,                0.93916,                0.99141,                0.99659,                0.99491,                0.86232,                0.59316,                0.38308,                0.87973,             0.00018569,             0.00018569,             0.00018569
                     73,                0.70841,                0.62768,                0.93643,                0.99011,                0.99846,                  0.995,                0.85763,                0.61065,                0.38127,                0.88227,              0.0001795,              0.0001795,              0.0001795
                     74,                0.71525,                0.65419,                0.94216,                0.98961,                0.99493,                  0.995,                0.85989,                0.59551,                0.38313,                0.87884,             0.00017331,             0.00017331,             0.00017331
                     75,                0.70232,                0.63882,                0.94255,                 0.9902,                0.99838,                  0.995,                0.85882,                0.60376,                0.38055,                 0.8786,             0.00016713,             0.00016713,             0.00016713
                     76,                0.69577,                0.62445,                0.93429,                0.99361,                      1,                  0.995,                0.86773,                0.58098,                0.37005,                0.87521,             0.00016094,             0.00016094,             0.00016094
                     77,                0.70663,                0.62204,                0.93734,                0.99289,                0.99863,                  0.995,                0.86167,                0.60194,                0.37797,                0.87795,             0.00015475,             0.00015475,             0.00015475
                     78,                0.70122,                0.61922,                0.94369,                0.98756,                0.99917,                  0.995,                0.86343,                 0.5852,                0.37678,                0.87555,             0.00014856,             0.00014856,             0.00014856
                     79,                0.70242,                0.62369,                0.93108,                0.98971,                0.99972,                  0.995,                0.86008,                0.60601,                0.37589,                0.88074,             0.00014237,             0.00014237,             0.00014237
                     80,                0.70963,                0.62615,                 0.9348,                0.99213,                0.99734,                  0.995,                0.86995,                0.57014,                0.36759,                0.87001,             0.00013619,             0.00013619,             0.00013619
                     81,                0.69261,                0.60852,                0.93102,                0.99276,                0.99836,                  0.995,                0.85784,                0.61006,                0.37322,                0.87929,                0.00013,                0.00013,                0.00013
                     82,                0.69727,                0.63558,                0.93187,                0.99314,                0.99766,                  0.995,                  0.863,                0.58837,                0.36645,                0.87486,             0.00012381,             0.00012381,             0.00012381
                     83,                0.70444,                0.61863,                0.92986,                0.99251,                0.99678,                  0.995,                0.86557,                0.57796,                0.36653,                0.87284,             0.00011763,             0.00011763,             0.00011763
                     84,                0.69311,                0.61511,                0.92772,                0.99229,                0.99582,                  0.995,                0.85988,                0.60024,                 0.3752,                0.87683,             0.00011144,             0.00011144,             0.00011144
                     85,                0.69107,                0.61934,                0.92764,                 0.9901,                 0.9976,                  0.995,                0.86423,                0.58856,                0.37083,                0.87517,             0.00010525,             0.00010525,             0.00010525
                     86,                0.69353,                 0.6118,                0.93364,                0.99027,                0.99624,                  0.995,                0.86247,                0.59588,                0.37047,                0.87631,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.70234,                0.61396,                0.93445,                0.99115,                0.99776,                  0.995,                0.86109,                0.59513,                0.36866,                0.87626,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                  0.703,                0.63807,                0.93167,                0.99129,                0.99761,                  0.995,                0.86142,                0.58535,                0.36438,                 0.8728,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.68808,                0.60305,                0.92876,                0.99177,                0.99797,                  0.995,                0.86588,                0.58428,                0.36374,                0.87202,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                 0.6609,                0.57387,                0.91515,                0.99403,                0.99808,                  0.995,                0.86514,                0.58567,                0.37643,                0.86973,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.65811,                0.57486,                0.91209,                0.99278,                0.99739,                  0.995,                0.85939,                0.60473,                0.38173,                0.87531,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.66139,                 0.5939,                0.92327,                0.99006,                0.99846,                  0.995,                0.85876,                0.59871,                 0.3737,                0.87578,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.66285,                 0.5625,                0.91406,                0.98714,                0.99513,                  0.995,                0.86187,                0.58682,                0.37493,                0.87185,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                 0.6557,                0.56093,                0.91821,                0.98871,                      1,                  0.995,                 0.8597,                0.58541,                0.37358,                0.87215,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.65498,                0.56164,                0.90825,                0.99095,                0.99799,                  0.995,                0.86186,                0.58362,                0.37237,                0.87191,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.65375,                0.56022,                0.91698,                0.99193,                0.99765,                  0.995,                0.86371,                0.58535,                0.37185,                0.87141,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.65433,                0.57073,                0.91489,                0.99236,                0.99842,                  0.995,                0.86335,                0.59483,                0.37166,                0.87327,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.63403,                0.54896,                0.91003,                0.99286,                0.99887,                  0.995,                0.86623,                 0.5889,                0.36797,                0.87205,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.64228,                0.54386,                0.90927,                0.99268,                0.99925,                  0.995,                0.86158,                0.58739,                0.36859,                0.87169,             1.8625e-05,             1.8625e-05,             1.8625e-05
